分类,风格,优,arxiv_id,标题,备注,被引,arXiv
好,科研风,,2301.02083,Self-Motivated Multi-Agent Exploration,,2,https://arxiv.org/abs/2301.02083
坏,,,2301.08278,Investigating the Impact of Direct Punishment on the Emergence of Cooperation in Multi-Agent Reinforcement Learning Systems,,4,https://arxiv.org/abs/2301.08278
坏,,,2301.08864,Decentralized Multi-agent Filtering,,0,https://arxiv.org/abs/2301.08864
坏,,,2301.10993,Multi-Agent Congestion Cost Minimization With Linear Function Approximations,,0,https://arxiv.org/abs/2301.10993
好,生动活泼,,2302.00521,Off-the-Grid MARL: Datasets with Baselines for Offline Multi-Agent Reinforcement Learning,,1,https://arxiv.org/abs/2302.00521
坏,,,2302.03322,Attacking Cooperative Multi-Agent Reinforcement Learning by Adversarial Minority Influence,,3,https://arxiv.org/abs/2302.03322
坏,,,2302.03438,Uncoupled Learning of Differential Stackelberg Equilibria with Commitments,,0,https://arxiv.org/abs/2302.03438
坏,,,2302.04094,Learning Graph-Enhanced Commander-Executor for Multi-Agent Navigation,,3,https://arxiv.org/abs/2302.04094
坏,,,2302.05528,Learning cooperative behaviours in adversarial multi-agent systems,,2,https://arxiv.org/abs/2302.05528
坏,,,2302.07515,TiZero: Mastering Multi-Agent Football with Curriculum Learning and Self-Play,,3,https://arxiv.org/abs/2302.07515
坏,,,2302.10809,Causal Explanations for Sequential Decision-Making in Multi-Agent Systems,,2,https://arxiv.org/abs/2302.10809
坏,,,2303.16641,A Hierarchical Game-Theoretic Decision-Making for Cooperative Multi-Agent Systems Under the Presence of Adversarial Agents,,0,https://arxiv.org/abs/2303.16641
好,科研风,,2304.12653,Partially Observable Mean Field Multi-Agent Reinforcement Learning Based on Graph-Attention,,21,https://arxiv.org/abs/2304.12653
坏,,,2305.13062,Table Meets LLM: Can Large Language Models Understand Structured Table Data? A Benchmark and Empirical Study,,3,https://arxiv.org/abs/2305.13062
好,科研风,,2305.13936,Robust Multi-agent Communication via Multi-view Message Certification,,40,https://arxiv.org/abs/2305.13936
好,科研风,,2305.13937,Multi-agent Continual Coordination via Progressive Task Contextualization,,0,https://arxiv.org/abs/2305.13937
好,科研风,,2305.17330,MADiff: Offline Multi-agent Learning with Diffusion Models,,5,https://arxiv.org/abs/2305.17330
好,生动活泼,,2305.19118,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,,30,https://arxiv.org/abs/2305.19118
好,科研风,,2306.02561,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,,9,https://arxiv.org/abs/2306.02561
坏,,,2306.08568,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,,84,https://arxiv.org/abs/2306.08568
坏,,,2306.08900,Offline Multi-Agent Reinforcement Learning with Coupled Value Factorization,,0,https://arxiv.org/abs/2306.08900
坏,,,2307.02691,SACHA: Soft Actor-Critic with Heuristic-Based Attention for Partially Observable Multi-Agent Path Finding,,43,https://arxiv.org/abs/2307.02691
坏,,,2307.02757,Wireless Multi-Agent Generative AI: From Connected Intelligence to Collective Intelligence,,13,https://arxiv.org/abs/2307.02757
坏,,,2307.06187,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,,4,https://arxiv.org/abs/2307.06187
坏,,,2307.14745,Using Multi-Agent MicroServices (MAMS) for Agent Based Modelling,,0,https://arxiv.org/abs/2307.14745
好,生动活泼,,2308.00352,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,,152,https://arxiv.org/abs/2308.00352
好,生动活泼,,2308.07201,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,,56,https://arxiv.org/abs/2308.07201
好,生动活泼,,2308.10848,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,,0,https://arxiv.org/abs/2308.10848
坏,,,2308.11071,Neural Amortized Inference for Nested Multi-agent Reasoning,,0,https://arxiv.org/abs/2308.11071
好,生动活泼,,2308.12503,CGMI: Configurable General Multi-Agent Interaction Framework,,6,https://arxiv.org/abs/2308.12503
坏,,,2308.16149,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,,23,https://arxiv.org/abs/2308.16149
好,生动活泼,,2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,,256,https://arxiv.org/abs/2309.07864
好,科研风,,2309.10346,Explaining Agent Behavior with Large Language Models,,1,https://arxiv.org/abs/2309.10346
好,生动活泼,,2309.12311,LLM-Grounder: Open-Vocabulary 3D Visual Grounding with Large Language Model as an Agent,,2,https://arxiv.org/abs/2309.12311
坏,,,2310.00034,PB-LLM: Partially Binarized Large Language Models,,7,https://arxiv.org/abs/2310.00034
好,科研风,,2310.01444,Adapting LLM Agents with Universal Feedback in Communication,,6,https://arxiv.org/abs/2310.01444
坏,,,2310.03659,Balancing Autonomy and Alignment: A Multi-Dimensional Taxonomy for Autonomous LLM-powered Multi-Agent Architectures,,11,https://arxiv.org/abs/2310.03659
坏,,,2310.03903,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,,10,https://arxiv.org/abs/2310.03903
坏,,,2310.06801,Inverse Factorized Q-Learning for Cooperative Multi-agent Imitation Learning,,0,https://arxiv.org/abs/2310.06801
坏,,,2310.08067,GameGPT: Multi-agent Collaborative Framework for Game Development,,3,https://arxiv.org/abs/2310.08067
坏,,,2310.10701,Theory of Mind for Multi-Agent Collaboration via Large Language Models,,70,https://arxiv.org/abs/2310.10701
坏,,,2310.12290,Fact-based Agent modeling for Multi-Agent Reinforcement Learning,,0,https://arxiv.org/abs/2310.12290
好,科研风,,2310.15127,Open-Ended Instructable Embodied Agents with Memory-Augmented Large Language Models,,1,https://arxiv.org/abs/2310.15127
好,科研风,,2311.01825,Large Language Models to the Rescue: Reducing the Complexity in Scientific Workflow Development Using ChatGPT,,10,https://arxiv.org/abs/2311.01825
好,科研风,,2311.04740,Enhancing Multi-Agent Coordination through Common Operating Picture Integration,,0,https://arxiv.org/abs/2311.04740
坏,,,2311.06622,TrainerAgent: Customizable and Efficient Model Training through LLM-Powered Multi-Agent System,,3,https://arxiv.org/abs/2311.06622
好,生动活泼,,2311.07076,On the Discussion of Large Language Models: Symmetry of Agents and Interplay with Prompts,,0,https://arxiv.org/abs/2311.07076
好,科研风,,2311.08152,Towards Reasoning in Large Language Models via Multi-Agent Peer Review Collaboration,,3,https://arxiv.org/abs/2311.08152
坏,,,2311.08562,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",,2,https://arxiv.org/abs/2311.08562
好,生动活泼,,2311.10813,A Language Agent for Autonomous Driving,,15,https://arxiv.org/abs/2311.10813
坏,,,2311.13373,Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents,,2,https://arxiv.org/abs/2311.13373
好,科研风,,2312.00746,Deciphering Digital Detectives: Understanding LLM Behaviors and Capabilities in Multi-Agent Mystery Games,,0,https://arxiv.org/abs/2312.00746
坏,,,2312.01090,Self Generated Wargame AI: Double Layer Agent Task Planning Based on Large Language Model,,1,https://arxiv.org/abs/2312.01090
好,生动活泼,,2312.07850,Large Language Model Enhanced Multi-Agent Systems for 6G Communications,,1,https://arxiv.org/abs/2312.07850
坏,,,2312.14769,Large Language Model (LLM) Bias Index -- LLMBI,,6,https://arxiv.org/abs/2312.14769
坏,,,2401.02705,XUAT-Copilot: Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model,,5,https://arxiv.org/abs/2401.02705
好,科研风,,2401.02777,From LLM to Conversational Agent: A Memory Enhanced Architecture with Fine-Tuning of Large Language Models,,6,https://arxiv.org/abs/2401.02777
坏,,,2401.03428,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",,0,https://arxiv.org/abs/2401.03428
好,生动活泼,,2401.03945,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,,1,https://arxiv.org/abs/2401.03945
坏,,,2401.07324,Small LLMs Are Weak Tool Learners: A Multi-LLM Agent,,4,https://arxiv.org/abs/2401.07324
好,科研风,,2401.10034,Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,,11,https://arxiv.org/abs/2401.10034
好,生动活泼,,2401.11880,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",,0,https://arxiv.org/abs/2401.11880
坏,,,2401.16158,Mobile-Agent: Autonomous Multi-Modal Mobile Device Agent with Visual Perception,,13,https://arxiv.org/abs/2401.16158
坏,,,2401.16788,Can Large Language Models be Trusted for Evaluation? Scalable Meta-Evaluation of LLMs as Evaluators via Agent Debate,,0,https://arxiv.org/abs/2401.16788
好,生动活泼,,2402.01135,A Multi-Agent Conversational Recommender System,,3,https://arxiv.org/abs/2402.01135
好,科研风,,2402.01620,MAGDi: Structured Distillation of Multi-Agent Interaction Graphs Improves Reasoning in Smaller Language Models,,1,https://arxiv.org/abs/2402.01620
坏,,,2402.01680,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,,64,https://arxiv.org/abs/2402.01680
坏,,,2402.01737,Assistive Large Language Model Agents for Socially-Aware Negotiation Dialogues,,4,https://arxiv.org/abs/2402.01737
坏,,,2402.04559,Can Large Language Model Agents Simulate Human Trust Behavior?,,7,https://arxiv.org/abs/2402.04559
坏,,,2402.04578,S-Agents: Self-organizing Agents in Open-ended Environments,,2,https://arxiv.org/abs/2402.04578
好,科研风,,2402.07401,Can LLMs Produce Faithful Explanations For Fact-checking? Towards Faithful Explainable Fact-Checking via Multi-Agent Debate,,7,https://arxiv.org/abs/2402.07401
好,生动活泼,,2402.09742,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,,5,https://arxiv.org/abs/2402.09742
坏,,,2402.10178,TDAG: A Multi-Agent Framework based on Dynamic Task Decomposition and Agent Generation,,5,https://arxiv.org/abs/2402.10178
好,科研风,,2402.11163,KG-Agent: An Efficient Autonomous Agent Framework for Complex Reasoning over Knowledge Graph,,13,https://arxiv.org/abs/2402.11163
好,科研风,,2402.11208,Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents,,8,https://arxiv.org/abs/2402.11208
好,生动活泼,,2402.11651,Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents,,2,https://arxiv.org/abs/2402.11651
好,科研风,,2402.14744,Large Language Models as Urban Residents: An LLM Agent Framework for Personal Mobility Generation,,12,https://arxiv.org/abs/2402.14744
坏,,,2402.14871,LLM Based Multi-Agent Generation of Semi-structured Documents from Semantic Templates in the Public Administration Domain,,2,https://arxiv.org/abs/2402.14871
好,生动活泼,,2402.15809,Empowering Large Language Model Agents through Action Learning,,0,https://arxiv.org/abs/2402.15809
坏,,,2402.18240,Prospect Personalized Recommendation on Large Language Model-based Agent Platform,,3,https://arxiv.org/abs/2402.18240
好,生动活泼,,2402.18272,Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,,4,https://arxiv.org/abs/2402.18272
坏,,,2403.00810,Bootstrapping Cognitive Agents with a Large Language Model,,5,https://arxiv.org/abs/2403.00810
好,科研风,,2403.07378,SVD-LLM: Truncation-aware Singular Value Decomposition for Large Language Model Compression,,1,https://arxiv.org/abs/2403.07378
好,科研风,,2403.07559,Ensembling Prioritized Hybrid Policies for Multi-agent Pathfinding,,0,https://arxiv.org/abs/2403.07559
坏,,,2403.14783,Multi-Agent VQA: Exploring Multi-Agent Foundation Models in Zero-Shot Visual Question Answering,,1,https://arxiv.org/abs/2403.14783
坏,,,2403.17246,TwoStep: Multi-agent Task Planning using Classical Planners and Large Language Models,,1,https://arxiv.org/abs/2403.17246
坏,,,2403.17927,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,,9,https://arxiv.org/abs/2403.17927
好,科研风,,2404.01131,GOV-REK: Governed Reward Engineering Kernels for Designing Robust Multi-Agent Reinforcement Learning Systems,,0,https://arxiv.org/abs/2404.01131
好,科研风,,2404.01230,LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models,,6,https://arxiv.org/abs/2404.01230
好,生动活泼,,2404.01663,CMAT: A Multi-Agent Collaboration Tuning Framework for Enhancing Small Language Models,,2,https://arxiv.org/abs/2404.01663
坏,,,2404.02183,Self-Organized Agents: A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Optimization,,6,https://arxiv.org/abs/2404.02183
坏,,,2404.04167,Chinese Tiny LLM: Pretraining a Chinese-Centric Large Language Model,,5,https://arxiv.org/abs/2404.04167
坏,,,2404.05569,360$^\circ$REA: Towards A Reusable Experience Accumulation with 360° Assessment for Multi-Agent System,,0,https://arxiv.org/abs/2404.05569
坏,,,2404.07677,ODA: Observation-Driven Agent for integrating LLMs and Knowledge Graphs,,2,https://arxiv.org/abs/2404.07677
坏,,,2404.07960,Content Knowledge Identification with Multi-Agent Large Language Models (LLMs),,16,https://arxiv.org/abs/2404.07960
坏,,,2404.09982,INMS: Memory Sharing for Large Language Model based Agents,,2,https://arxiv.org/abs/2404.09982
好,生动活泼,,2404.12135,mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture,,1,https://arxiv.org/abs/2404.12135
坏,,,2404.16579,Neural Interaction Energy for Multi-Agent Trajectory Prediction,,0,https://arxiv.org/abs/2404.16579
好,生动活泼,,2404.17662,PLAYER*: Enhancing LLM-based Multi-Agent Communication and Interaction in Murder Mystery Games,,3,https://arxiv.org/abs/2404.17662
坏,,,2404.17729,"CoMM: Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",,0,https://arxiv.org/abs/2404.17729
坏,,,2404.18081,ComposerX: Multi-Agent Symbolic Music Composition with LLMs,,6,https://arxiv.org/abs/2404.18081
坏,,,2405.02858,Language Evolution for Evading Social Media Regulation via LLM-based Multi-agent Simulation,,0,https://arxiv.org/abs/2405.02858
坏,,,2405.05955,Smurfs: Multi-Agent System using Context-Efficient DFSDT for Tool Planning,,1,https://arxiv.org/abs/2405.05955
坏,,,2405.11106,LLM-based Multi-Agent Reinforcement Learning: Current and Future Directions,,11,https://arxiv.org/abs/2405.11106
坏,,,2405.18092,LLM experiments with simulation: Large Language Model Multi-Agent System for Simulation Model Parametrization in Digital Twins,,1,https://arxiv.org/abs/2405.18092
好,生动活泼,,2405.19266,PediatricsGPT: Large Language Models as Chinese Medical Assistants for Pediatric Applications,,5,https://arxiv.org/abs/2405.19266
坏,,,2405.19456,SSFF: Investigating LLM Predictive Capabilities for Startup Success through a Multi-Agent Framework with Enhanced Explainability and Performance,,3,https://arxiv.org/abs/2405.19456
好,科研风,,2405.20770,Large Language Model Sentinel: LLM Agent for Adversarial Purification,,1,https://arxiv.org/abs/2405.20770
坏,,,2406.00244,Controlling Large Language Model Agents with Entropic Activation Steering,,1,https://arxiv.org/abs/2406.00244
好,科研风,,2406.01698,Demystifying AI Platform Design for Distributed Inference of Next-Generation LLM models,,1,https://arxiv.org/abs/2406.01698
坏,,,2406.01893,Large Language Model-Enabled Multi-Agent Manufacturing Systems,,1,https://arxiv.org/abs/2406.01893
坏,,,2406.02818,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,,9,https://arxiv.org/abs/2406.02818
坏,,,2406.03075,Towards Detecting LLMs Hallucination via Markov Chain-based Multi-agent Debate Framework,,1,https://arxiv.org/abs/2406.03075
坏,,,2406.04692,Mixture-of-Agents Enhances Large Language Model Capabilities,,25,https://arxiv.org/abs/2406.04692
坏,,,2406.06549,Large Language Model (LLM) for Standard Cell Layout Design Optimization,,1,https://arxiv.org/abs/2406.06549
好,科研风,,2406.07054,CoEvol: Constructing Better Responses for Instruction Finetuning through Multi-Agent Cooperation,,1,https://arxiv.org/abs/2406.07054
坏,,,2406.07155,Scaling Large Language Model-based Multi-Agent Collaboration,,7,https://arxiv.org/abs/2406.07155
好,科研风,,2406.14228,EvoAgent: Towards Automatic Multi-Agent Generation via Evolutionary Algorithms,,0,https://arxiv.org/abs/2406.14228
坏,,,2406.19477,Multi-agent Cooperative Games Using Belief Map Assisted Training,,1,https://arxiv.org/abs/2406.19477
坏,,,2406.20041,BMW Agents -- A Framework For Task Automation Through Multi-Agent Collaboration,,4,https://arxiv.org/abs/2406.20041
坏,,,2407.00092,Visual Reasoning and Multi-Agent Approach in Multimodal Large Language Models (MLLMs): Solving TSP and mTSP Combinatorial Challenges,,0,https://arxiv.org/abs/2407.00092
坏,,,2407.00662,Multi-Agent Training for Pommerman: Curriculum Learning and Population-based Self-Play Approach,,0,https://arxiv.org/abs/2407.00662
坏,,,2407.06426,DebUnc: Improving Large Language Model Agent Communication With Uncertainty Metrics,,3,https://arxiv.org/abs/2407.06426
坏,,,2407.06567,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,,11,https://arxiv.org/abs/2407.06567
坏,,,2407.07086,Hypothetical Minds: Scaffolding Theory of Mind for Multi-Agent Tasks with Large Language Models,,3,https://arxiv.org/abs/2407.07086
好,科研风,,2407.07093,FBI-LLM: Scaling Up Fully Binarized LLMs from Scratch via Autoregressive Distillation,,0,https://arxiv.org/abs/2407.07093
好,生动活泼,,2407.07791,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,,0,https://arxiv.org/abs/2407.07791
